Vegetarian Burger
Cheeseburger
Haloumi Burger
Premium Beef Burger
Double Beef Burger
Crispy Fried Chicken Burger
Grilled Chicken Burger
Soft shell Crab Burger
Wagyu Beef Burger
Lamb Burger
Fish Burger
Tower Burger 
Double Bacon and Beef Burger
Pulled Pork Burger
Tofu Burger
Tortilla Burger
Sponge Cake
Chocolate Cake
Cheesecake
Red Velvet Cake
Potato Salad
Loaded Fries
Chilly Fries
Barramundi Fillet 
Red Snapper
Whitefish Fillet
Black Cod with Miso
Grilled Black Cod 
Baked Whitefish
Fried Prompret
Fish Cutlets
Fish and Chips
Grilled Barramundi
Thai Steamed Fish
Jack Daniel's Steak
Rump Steak
Pork Ribs
Beef Ribs
Lamb Chop
BBQ Ribs
Black Angus Ribeye
New York Strip steak
Scotch Fillet
T-bone Steak
Wagyu Steak
Wagyu Eye Fillet
Porterhouse Steak
Pork Chop
Spaghetti Bolognese
Chicken Pasta
Chicken Linguine
Seafood Pasta
Lobster and Shrimp Pasta
Lobster Mac and Cheese Pasta
Crayfish Pasta
Crab Meat Pasta
Creamy Fettuccine Carbonara
Four-Cheese Chicken Fettucine
Seafood Fettucine
Potato Gnocchi
Gnocchi with Fresh Tomato and Basil
Hainanese Chicken Rice
Fried Chicken Chop Rice
Diced Beef Broken Rice
Curry Chicken Rice
Grilled Chicken Rice
Fried Rice
Beef and Vegetable with Rice
Prawn Seafood with Rice
Nasi Goreng
Nasi Lemak
Korean Fried Rice
Korean Bibimbap
Kimchi Fried Rice
Pork Chop with Rice
Tempura Prawn with Rice
Grilled Fish with Rice
Soup with Bread
Bruschetta
French Toast
5 Cheese Tasting Platter with Bread
Ham and Cheese Croissant
Nutella Croissant
Almond Croissant
Ham and Cheese Bagel
Bagel
Poppy Seed Bagel
Grilled Cheese Sandwich
BBQ pork Baguette
BBQ Chicken Baguette
Ham and Cheese Baguette
Vietnamese Pork Roll
Ciabatta Pizza Bread
Garlic Focaccia
Grilled Panini
Grilled Lobster
Prawn Cutlets
Salted Egg Crab
Mud Crab
Chilly Crab
Spicy Prawn Dish
Curry Prawn Dish
Chicken Paella
Seafood Paella
Baked Cheese Lobster
Seafood Combination 
Sichuan Hot Pot 
Sizzling Korean BBQ 
Caesar Salad
Garden Salad
Chicken Garden Salad
Vanilla Ice Cream
Chocolate Ice Cream
Triple Flavour Ice Cream
Salmon Sushi Roll
California Sushi Roll
Tuna Sushi Roll
Soft Shell Crab Sushi Roll
Tempura Prawn Sushi Roll
Egg Onigiri
Cold Soba
Yakisoba
Fresh Sashimi
Vietnamese Rice Paper Roll
Pork Ramen
Chicken Ramen
Seafood Ramen
Nutella Crepe
Strawberry Crepe
Chicken Nuggets
Mango Pudding
Belgian Waffle
Buttermilk Waffle
Apple Cinnamon Waffle
Blueberry Waffle
Chocolate Waffle
Ice Cream Waffle
Ice Cream Pancake
Butter and Cheese Pancake
Banana Berry Pancake
Chilli Beef Nachos
Beef Nachos
Chicken Nachos
Cheese Nachos
Fish Taco
Ground Beef Taco
Chicken Taco
Beef Burrito
Chicken Burrito with Lime Rice
Fish Burrito
Chicken Tortilla
Scones with butter and Jam
Peking Duck
Roast Duck 
Teppanyaki
Yakiniku
Shabu-shabu 
Smoked Salmon and Scrambled Egg on Toast
Eggs Benedict
Kimchi Pancake
BBQ Chicken Wings
Fried Egg and Bacon Roll 
Steak Sandwich
Curry Chicken Dish
Beef Rendang Dish
Chicken Biryani
Chicken Tandoori with Rice
Chicken Skewer
Chicken Kebab
Mixed Kebab
Chilli and Cheese Hot Dog
Bacon and Cheese Hot Dog
Strawberry Jam Muffin
Chocolate Doughnut
Stawberry Jam Doughnut
Passionfruit Muffin
Double Choc Muffin
Blueberry Muffin
Pistachio Muffin
Chicken Quesadilla
Beef Quesadilla
Curry Fish Dish
Roti Canai
Seafood Combination Laksa
Chicken Laksa
Special Combination Laksa
Tom Yum Laksa
Vermicelli with Spring Rolls
Crispy Noodle Salad
Sashimi Salad
BBQ Chicken Bao
BBQ Pork Bao
Pork Dumplings 
Chicken Dumplings
Fried Dumplings
Prawn Dumplings
Xiao Long Bao
Chicken Egg Noodles
Seafood Egg Noodles
Sweet Potato Chips
5 Cheese Pizza
BBQ Chicken Pizza
Tandoori Chicken Pizza
Meatlovers Pizza
Seafood Pizza
Pepperoni Pizza
Capricciosa Pizza
Mushroom Pizza
Shepherd's Pie
Meat Pie
Sausage Roll
Spinach and Cheese Roll
Beef Skewers
Kottu Roti
Sausage Sizzle Roll
Wonton Noodles
Dry Wonton Noodles
Chinese Sausage Claypot Rice
Fish Claypot
Claypot Chicken Rice
Claypot Seafood Rice
